SeriesName_1: GDP: Gross domestic product (line 1) [Millions],Series Code_2: A191RC-Q,SeriesName_2: Employment: Total nonfarm  [Thousands],SeriesCode_2: CES0000000001
Date_1,GDP: Gross domestic product (line 1) [Millions],Date_2,Employment: Total nonfarm  [Thousands]
,,04-1972,73162.0
,,05-1972,73469.0
,,06-1972,73758.0
,,07-1972,73709.0
,,08-1972,74141.0
,,09-1972,74264.0
,,10-1972,74674.0
,,11-1972,74973.0
,,12-1972,75268.0
,,01-1973,75617.0
,,02-1973,76014.0
,,03-1973,76284.0
,,04-1973,76455.0
,,05-1973,76648.0
,,06-1973,76887.0
,,07-1973,76913.0
,,08-1973,77168.0
,,09-1973,77276.0
,,10-1973,77607.0
,,11-1973,77920.0
,,12-1973,78031.0
,,01-1974,78100.0
,,02-1974,78254.0
,,03-1974,78296.0
,,04-1974,78382.0
,,05-1974,78549.0
,,06-1974,78604.0
,,07-1974,78636.0
,,08-1974,78619.0
,,09-1974,78610.0
,,10-1974,78630.0
,,11-1974,78265.0
,,12-1974,77652.0
,,01-1975,77293.0
,,02-1975,76918.0
,,03-1975,76648.0
,,04-1975,76460.0
,,05-1975,76624.0
,,06-1975,76521.0
,,07-1975,76770.0
,,08-1975,77153.0
,,09-1975,77228.0
,,10-1975,77540.0
,,11-1975,77685.0
,,12-1975,78017.0
,,01-1976,78503.0
,,02-1976,78816.0
,,03-1976,79048.0
,,04-1976,79292.0
,,05-1976,79312.0
,,06-1976,79376.0
,,07-1976,79547.0
,,08-1976,79704.0
,,09-1976,79892.0
,,10-1976,79911.0
,,11-1976,80240.0
,,12-1976,80448.0
,,01-1977,80690.0
,,02-1977,80988.0
,,03-1977,81391.0
,,04-1977,81728.0
,,05-1977,82088.0
,,06-1977,82488.0
,,07-1977,82834.0
,,08-1977,83075.0
,,09-1977,83532.0
,,10-1977,83800.0
,,11-1977,84173.0
,,12-1977,84410.0
,,01-1978,84594.0
,,02-1978,84948.0
,,03-1978,85460.0
,,04-1978,86162.0
,,05-1978,86509.0
,,06-1978,86950.0
,,07-1978,87204.0
,,08-1978,87483.0
,,09-1978,87621.0
,,10-1978,87956.0
,,11-1978,88391.0
,,12-1978,88671.0
,,01-1979,88808.0
,,02-1979,89055.0
,,03-1979,89479.0
,,04-1979,89417.0
,,05-1979,89789.0
,,06-1979,90108.0
,,07-1979,90217.0
,,08-1979,90300.0
,,09-1979,90327.0
,,10-1979,90481.0
,,11-1979,90573.0
,,12-1979,90672.0
,,01-1980,90800.0
,,02-1980,90883.0
,,03-1980,90994.0
,,04-1980,90849.0
,,05-1980,90420.0
,,06-1980,90101.0
,,07-1980,89840.0
,,08-1980,90099.0
,,09-1980,90213.0
,,10-1980,90490.0
,,11-1980,90747.0
,,12-1980,90943.0
,,01-1981,91033.0
,,02-1981,91105.0
,,03-1981,91210.0
,,04-1981,91283.0
,,05-1981,91296.0
,,06-1981,91490.0
,,07-1981,91601.0
,,08-1981,91565.0
,,09-1981,91477.0
,,10-1981,91380.0
,,11-1981,91171.0
,,12-1981,90895.0
,,01-1982,90565.0
,,02-1982,90563.0
,,03-1982,90434.0
,,04-1982,90150.0
,,05-1982,90107.0
,,06-1982,89865.0
,,07-1982,89521.0
,,08-1982,89363.0
,,09-1982,89183.0
,,10-1982,88907.0
,,11-1982,88786.0
,,12-1982,88771.0
,,01-1983,88990.0
,,02-1983,88917.0
,,03-1983,89090.0
,,04-1983,89364.0
,,05-1983,89644.0
,,06-1983,90021.0
,,07-1983,90437.0
,,08-1983,90129.0
,,09-1983,91247.0
,,10-1983,91520.0
,,11-1983,91875.0
,,12-1983,92230.0
,,01-1984,92673.0
,,02-1984,93157.0
,,03-1984,93429.0
,,04-1984,93792.0
,,05-1984,94098.0
,,06-1984,94479.0
,,07-1984,94789.0
,,08-1984,95032.0
,,09-1984,95344.0
,,10-1984,95629.0
